Date,Open,High,Low,Close,Adj Close,Volume
1/1/1968,0.961538,1.001603,0.873898,0.880158,0.002447,51717100
2/1/1968,0.880158,0.915214,0.861378,0.870142,0.002419,46585400
3/1/1968,0.871394,0.901442,0.848858,0.865134,0.002423,42941200
4/1/1968,0.878906,0.967798,0.878906,0.960286,0.00269,60423200
5/1/1968,0.960286,0.979066,0.866386,0.882662,0.002473,63647900
6/1/1968,0.888922,0.916466,0.858874,0.863882,0.002438,73791800
7/1/1968,0.863882,0.888922,0.83133,0.845102,0.002385,87200200
8/1/1968,0.845102,0.855118,0.803786,0.842598,0.002378,60593000
9/1/1968,0.842598,0.89393,0.828826,0.853866,0.00241,61701300
10/1/1968,0.853866,0.981571,0.851362,0.951522,0.002685,99220900
11/1/1968,0.951522,1.005359,0.936498,0.997847,0.002816,58226700
12/1/1968,0.997847,0.999099,0.93149,0.940254,0.002654,50938500
1/1/1969,0.942758,0.964042,0.891426,0.928986,0.002639,63957400
2/1/1969,0.92523,0.930238,0.852614,0.866386,0.002461,62010700
3/1/1969,0.866386,0.93149,0.858874,0.923978,0.002645,62959000
4/1/1969,0.923978,0.979066,0.888922,0.979066,0.002802,61571300
5/1/1969,0.979066,0.984075,0.936498,0.94401,0.002702,61132200
6/1/1969,0.941506,0.941506,0.885166,0.901442,0.00258,61631100
7/1/1969,0.901442,0.913962,0.833834,0.86263,0.002487,53324500
8/1/1969,0.86263,0.883914,0.813802,0.838842,0.002418,57867400
9/1/1969,0.838842,0.867638,0.811298,0.851362,0.002454,65115700
10/1/1969,0.851362,0.90019,0.82507,0.842598,0.002448,77965000
11/1/1969,0.842598,0.857622,0.801282,0.802534,0.002331,57707400
12/1/1969,0.802534,0.808794,0.742438,0.776242,0.002255,88598000
1/1/1970,0.776242,0.777494,0.72491,0.72491,0.002124,84564400
2/1/1970,0.727414,0.739934,0.677334,0.70613,0.002069,83336500
3/1/1970,0.709886,0.759966,0.691106,0.738682,0.002164,93140700
4/1/1970,0.739934,0.771234,0.697366,0.713642,0.00211,82508000
5/1/1970,0.713642,0.717398,0.603466,0.664814,0.001965,79612400
6/1/1970,0.664814,0.711138,0.651042,0.676082,0.001999,77625300
7/1/1970,0.676082,0.78125,0.66857,0.769982,0.002299,76857000
8/1/1970,0.763722,0.801282,0.734926,0.786258,0.002347,67931100
9/1/1970,0.786258,0.870142,0.767478,0.845102,0.002523,66154100
10/1/1970,0.845102,0.87515,0.826322,0.861378,0.002592,72703400
11/1/1970,0.861378,0.891426,0.845102,0.885166,0.002664,71725100
12/1/1970,0.885166,0.946514,0.870142,0.940254,0.00283,93150700
1/1/1971,0.940254,1.065455,0.93149,0.994091,0.003014,91733100
2/1/1971,0.994091,1.086739,0.992839,1.082983,0.003284,108905500
3/1/1971,1.081731,1.131811,1.071715,1.121795,0.003401,91822600
4/1/1971,1.121795,1.245743,1.113031,1.230719,0.003754,95886400
5/1/1971,1.229467,1.244491,1.151843,1.200671,0.003663,74470600
6/1/1971,1.200671,1.240735,1.156851,1.216947,0.003712,65789700
7/1/1971,1.216947,1.236979,1.059195,1.069211,0.003281,101452500
8/1/1971,1.069211,1.267027,1.064203,1.241987,0.003811,108980300
9/1/1971,1.241987,1.319611,1.196915,1.231971,0.00378,53284700
10/1/1971,1.231971,1.297075,1.149339,1.166867,0.0036,61012100
11/1/1971,1.166867,1.199419,1.101763,1.196915,0.003693,77600600
12/1/1971,1.204427,1.332131,1.194411,1.254507,0.003871,73746800
1/1/1972,1.254507,1.302083,1.216947,1.241987,0.003854,88098700
2/1/1972,1.241987,1.246995,1.166867,1.214443,0.003769,86111900
3/1/1972,1.216947,1.302083,1.216947,1.294571,0.004017,86436500
4/1/1972,1.294571,1.419772,1.284555,1.354667,0.004228,60438100
5/1/1972,1.354667,1.407252,1.282051,1.377204,0.004299,48212700
6/1/1972,1.377204,1.394732,1.304587,1.317107,0.004111,44553600
7/1/1972,1.317107,1.357171,1.252003,1.262019,0.00396,53354500
8/1/1972,1.262019,1.402244,1.257011,1.332131,0.004179,59749000
9/1/1972,1.332131,1.349659,1.277043,1.329627,0.004172,29407800
10/1/1972,1.329627,1.332131,1.239483,1.279547,0.004036,66019200
11/1/1972,1.279547,1.367188,1.274539,1.359676,0.004289,55051900
12/1/1972,1.36218,1.46234,1.344651,1.459836,0.004629,62739600
1/1/1973,1.467348,1.519932,1.367188,1.402244,0.004446,72603500
2/1/1973,1.402244,1.444812,1.304587,1.339643,0.004248,64696300
3/1/1973,1.339643,1.377204,1.246995,1.292067,0.004119,65549900
4/1/1973,1.287059,1.299579,1.156851,1.186899,0.003783,71894800
5/1/1973,1.186899,1.262019,1.101763,1.191907,0.003799,93959300
6/1/1973,1.181891,1.236979,1.111779,1.149339,0.003664,62375100
7/1/1973,1.149339,1.299579,1.116787,1.257011,0.00403,79697500
8/1/1973,1.257011,1.262019,1.151843,1.184395,0.003798,88627800
9/1/1973,1.186899,1.314603,1.124299,1.262019,0.004073,91054100
10/1/1973,1.259515,1.374699,1.239483,1.309595,0.004227,76747100
11/1/1973,1.309595,1.36218,1.214443,1.264523,0.004082,72189400
12/1/1973,1.264523,1.267027,1.141827,1.262019,0.004099,76812000
1/1/1974,1.257011,1.302083,1.181891,1.199419,0.003896,65689700
2/1/1974,1.199419,1.199419,1.071715,1.134315,0.003684,57982200
3/1/1974,1.134315,1.144331,1.016627,1.086739,0.003554,102610700
4/1/1974,1.086739,1.121795,1.006611,1.021635,0.003342,52535400
5/1/1974,1.024139,1.081731,0.936498,0.966546,0.003161,80455900
6/1/1974,0.966546,1.021635,0.954026,0.986579,0.003227,53738700
7/1/1974,0.986579,0.996595,0.858874,0.861378,0.002841,64801400
8/1/1974,0.861378,0.941506,0.701122,0.758714,0.002502,59354500
9/1/1974,0.758714,0.773738,0.600962,0.626002,0.002065,75004500
10/1/1974,0.626002,0.778746,0.610978,0.766226,0.002559,100439000
11/1/1974,0.766226,0.811298,0.666066,0.74369,0.002484,73801500
12/1/1974,0.736178,0.736178,0.615986,0.66857,0.002233,72174400
1/1/1975,0.66857,0.796274,0.648538,0.773738,0.002613,109289800
2/1/1975,0.773738,0.913962,0.763722,0.883914,0.002985,104372600
3/1/1975,0.883914,0.991587,0.866386,0.921474,0.003141,99560500
4/1/1975,0.921474,0.981571,0.886418,0.921474,0.003141,93525100
5/1/1975,0.93149,0.971554,0.891426,0.908954,0.003098,90789500
6/1/1975,0.916466,1.059195,0.891426,1.054187,0.003593,83311400
7/1/1975,1.054187,1.056691,0.93149,0.946514,0.003253,88942500
8/1/1975,0.94401,0.949018,0.828826,0.926482,0.003185,60942200
9/1/1975,0.926482,0.941506,0.841346,0.88141,0.00303,64057400
10/1/1975,0.88141,0.986579,0.846354,0.964042,0.003345,74221100
11/1/1975,0.961538,1.001603,0.941506,0.966546,0.003354,47204400
12/1/1975,0.966546,0.976563,0.903946,0.923978,0.003206,73612000
1/1/1976,0.923978,1.136819,0.921474,1.121795,0.003925,133460800
2/1/1976,1.119291,1.119291,1.019131,1.069211,0.003741,106374600
3/1/1976,1.069211,1.086739,0.996595,1.051683,0.003679,120651800
4/1/1976,1.051683,1.121795,1.026643,1.076723,0.003796,100279100
5/1/1976,1.076723,1.081731,0.999099,1.019131,0.003593,79612500
6/1/1976,1.019131,1.166867,1.014123,1.144331,0.004034,122748100
7/1/1976,1.144331,1.186899,1.066707,1.091747,0.003878,97568500
8/1/1976,1.091747,1.134315,1.044171,1.061699,0.003772,71724900
9/1/1976,1.061699,1.141827,1.049179,1.084235,0.003852,94793100
10/1/1976,1.084235,1.091747,1.004107,1.069211,0.00383,142017300
11/1/1976,1.069211,1.076723,1.004107,1.014123,0.003633,95007800
12/1/1976,1.014123,1.116787,1.014123,1.114283,0.003991,203788400
1/1/1977,1.101763,1.119291,1.046675,1.059195,0.003826,130635700
2/1/1977,1.059195,1.069211,0.996595,1.011619,0.003654,106349700
3/1/1977,1.014123,1.051683,0.981571,0.984075,0.003555,114401500
4/1/1977,0.984075,1.089243,0.959034,1.079227,0.003934,176586900
5/1/1977,1.079227,1.114283,1.046675,1.086739,0.003961,119852800
6/1/1977,1.086739,1.146835,1.081731,1.131811,0.004125,128324400
7/1/1977,1.131811,1.131811,1.081731,1.089243,0.00401,111701100
8/1/1977,1.089243,1.109275,1.034155,1.069211,0.003937,111376500
9/1/1977,1.069211,1.104267,1.009115,1.026643,0.00378,95122200
10/1/1977,1.029147,1.039163,0.981571,1.004107,0.003735,107981800
11/1/1977,0.999099,1.056691,0.979066,1.004107,0.003735,95711900
12/1/1977,1.004107,1.011619,0.949018,0.999099,0.003758,146000900
1/1/1978,0.994091,0.994091,0.901442,0.916466,0.003447,147778100
2/1/1978,0.916466,0.961538,0.886418,0.896434,0.003409,106114700
3/1/1978,0.89393,0.959034,0.873898,0.933994,0.003552,110148500
4/1/1978,0.933994,1.071715,0.91897,1.046675,0.003981,189221700
5/1/1978,1.046675,1.096755,0.999099,1.059195,0.004028,163363400
6/1/1978,1.059195,1.099259,0.986579,1.011619,0.003848,123002900
7/1/1978,1.009115,1.091747,0.999099,1.074219,0.004136,116593300
8/1/1978,1.074219,1.154347,1.066707,1.086739,0.004185,168889400
9/1/1978,1.086739,1.106771,1.036659,1.059195,0.004079,166343500
10/1/1978,1.061699,1.079227,0.921474,0.951522,0.003708,158071500
11/1/1978,0.971554,1.021635,0.933994,0.94401,0.003679,123267600
12/1/1978,0.954026,0.991587,0.916466,0.94401,0.003729,86651300
1/1/1979,0.94401,1.009115,0.936498,0.966546,0.003818,123786900
2/1/1979,0.966546,0.989083,0.911458,0.921474,0.00364,119743100
3/1/1979,0.921474,0.994091,0.916466,0.961538,0.003852,141962700
4/1/1979,0.951522,0.996595,0.939002,0.984075,0.003943,118500100
5/1/1979,0.984075,1.034155,0.971554,0.984075,0.003943,127955200
6/1/1979,0.984075,1.016627,0.961538,1.001603,0.00407,111526200
7/1/1979,1.001603,1.041667,0.984075,1.034155,0.004202,129512300
8/1/1979,1.034155,1.136819,1.021635,1.066707,0.004335,128663800
9/1/1979,1.066707,1.069211,1.004107,1.016627,0.004131,124515500
10/1/1979,1.011619,1.046675,0.921474,0.96905,0.003992,152001400
11/1/1979,0.96905,0.974059,0.901442,0.923978,0.003806,134060300
12/1/1979,0.923978,1.021635,0.916466,1.014123,0.00424,160078500
1/1/1980,1.014123,1.151843,0.959034,1.101763,0.004607,227086000
2/1/1980,1.101763,1.129307,0.979066,1.006611,0.004209,186865800
3/1/1980,1.006611,1.016627,0.88141,0.964042,0.004088,198896200
4/1/1980,0.964042,0.976563,0.891426,0.951522,0.004035,133860100
5/1/1980,0.951522,1.006611,0.916466,0.991587,0.004205,159783900
6/1/1980,0.991587,1.041667,0.89393,1.031651,0.004443,193629600
7/1/1980,1.031651,1.126803,1.024139,1.126803,0.004852,163517800
8/1/1980,1.124299,1.164363,1.081731,1.091747,0.004702,215305000
9/1/1980,1.091747,1.119291,1.044171,1.054187,0.00454,204996500
10/1/1980,1.054187,1.116787,1.031651,1.084235,0.004735,217886100
11/1/1980,1.084235,1.262019,1.081731,1.239483,0.005413,272019200
12/1/1980,1.221955,1.231971,1.111779,1.226963,0.005359,178533800
1/1/1981,1.229467,1.292067,1.184395,1.226963,0.005426,228718700
2/1/1981,1.226963,1.357171,1.199419,1.337139,0.005914,187279900
3/1/1981,1.324619,1.384716,1.302083,1.342147,0.005936,237269600
4/1/1981,1.344651,1.39974,1.304587,1.314603,0.00588,174575000
5/1/1981,1.314603,1.337139,1.246995,1.317107,0.005891,182702300
6/1/1981,1.317107,1.339643,1.234475,1.239483,0.005544,202949700
7/1/1981,1.239483,1.277043,1.184395,1.221955,0.005532,180306200
8/1/1981,1.221955,1.229467,1.106771,1.119291,0.005068,151167800
9/1/1981,1.119291,1.139323,1.024139,1.099259,0.004977,241597800
10/1/1981,1.099259,1.156851,1.064203,1.086739,0.004993,144383500
11/1/1981,1.101763,1.209435,1.101763,1.209435,0.005557,177515700
12/1/1981,1.206931,1.206931,1.141827,1.149339,0.005281,170262100
1/1/1982,1.166867,1.254507,1.101763,1.252003,0.00583,203518800
2/1/1982,1.239483,1.277043,1.179387,1.259515,0.005865,223327200
3/1/1982,1.264523,1.282051,1.181891,1.269531,0.005911,290809000
4/1/1982,1.282051,1.329627,1.262019,1.284555,0.006059,194358400
5/1/1982,1.289563,1.327123,1.231971,1.239483,0.005846,200818100
6/1/1982,1.239483,1.287059,1.201923,1.274539,0.006012,267017000
7/1/1982,1.274539,1.39974,1.259515,1.317107,0.006299,281404100
8/1/1982,1.339643,1.519932,1.259515,1.507412,0.007209,517181200
9/1/1982,1.497396,1.590044,1.472356,1.497396,0.007161,388227600
10/1/1982,1.522436,1.73778,1.494892,1.720252,0.008318,418000100
11/1/1982,1.735276,1.888021,1.705228,1.852965,0.00896,345486200
12/1/1982,1.847957,2.003205,1.825421,1.900541,0.009279,308451000
1/1/1983,1.870493,2.073317,1.817909,2.073317,0.010122,387618800
2/1/1983,2.048277,2.19351,1.988181,2.173478,0.010611,311161200
3/1/1983,2.203526,2.228566,2.033253,2.103365,0.010269,320126900
4/1/1983,2.103365,2.258614,2.058293,2.241086,0.011026,238687500
5/1/1983,2.216046,2.25611,2.068309,2.070813,0.010188,313932000
6/1/1983,2.075821,2.313702,2.075821,2.203526,0.010841,328214000
7/1/1983,2.203526,2.203526,1.963141,1.998197,0.009916,256656300
8/1/1983,1.973157,2.053285,1.842949,2.048277,0.010164,379811300
9/1/1983,2.043269,2.138422,1.963141,2.113381,0.010487,247311000
10/1/1983,2.103365,2.248598,2.038261,2.073317,0.010382,268305000
11/1/1983,2.078325,2.328726,2.043269,2.288662,0.01146,272119000
12/1/1983,2.273638,2.358774,2.203526,2.348758,0.011863,230600300
1/1/1984,2.338742,2.363782,2.133414,2.178486,0.011003,248399100
2/1/1984,2.178486,2.24359,2.043269,2.083333,0.010523,339046700
3/1/1984,2.058293,2.223558,1.953125,2.198518,0.011104,313595000
4/1/1984,2.198518,2.253606,2.053285,2.223558,0.01134,267448700
5/1/1984,2.233574,2.263622,2.023237,2.128405,0.010855,271674500
6/1/1984,2.108373,2.183494,2.093349,2.108373,0.010752,234274700
7/1/1984,2.108373,2.123397,1.933093,2.103365,0.010829,289825600
8/1/1984,2.103365,2.378806,2.103365,2.26863,0.01168,381319000
9/1/1984,2.253606,2.378806,2.203526,2.233574,0.011499,339922600
10/1/1984,2.213542,2.358774,2.133414,2.303686,0.011967,261673200
11/1/1984,2.303686,2.358774,2.203526,2.21855,0.011525,296979100
12/1/1984,2.21855,2.298678,2.123397,2.26863,0.011902,229676900
1/1/1985,2.258614,2.614183,2.228566,2.559095,0.013426,398658600
2/1/1985,2.514022,2.614183,2.453926,2.549078,0.013373,264942700
3/1/1985,2.559095,2.599159,2.338742,2.36879,0.012535,384136900
4/1/1985,2.363782,2.458934,2.338742,2.36879,0.012535,267681200
5/1/1985,2.333734,2.473958,2.323718,2.428886,0.012853,366467600
6/1/1985,2.44391,2.514022,2.36879,2.478966,0.013239,292291900
7/1/1985,2.473958,2.574119,2.413862,2.569111,0.01372,277525200
8/1/1985,2.579127,2.584135,2.39383,2.44391,0.013052,199140800
9/1/1985,2.448918,2.483974,2.273638,2.303686,0.012303,280393200
10/1/1985,2.303686,2.483974,2.253606,2.308694,0.012445,319974700
11/1/1985,2.308694,2.674279,2.308694,2.629207,0.014173,341750000
12/1/1985,2.584135,2.959736,2.579127,2.914664,0.015712,451202000
1/1/1986,2.884615,2.969752,2.664263,2.839543,0.019624,318844100
2/1/1986,2.849559,3.160056,2.844551,3.104968,0.021458,311955000
3/1/1986,3.104968,3.180088,2.94972,3.145032,0.026681,383690200
4/1/1986,3.165064,3.305289,2.864583,3.130008,0.026554,408004000
5/1/1986,3.119992,3.270232,3.009816,3.195112,0.027106,367231400
6/1/1986,3.205128,3.310297,3.165064,3.245192,0.027531,377437500
7/1/1986,3.230168,3.305289,2.854567,2.92468,0.030296,412581300
8/1/1986,2.929688,3.180088,2.859575,3.15004,0.03263,310050600
9/1/1986,3.165064,3.195112,2.844551,2.879607,0.029829,467593100
10/1/1986,2.894631,3.104968,2.829527,3.054888,0.039413,381955400
11/1/1986,3.079928,3.360377,2.989784,3.32532,0.042902,407317400
12/1/1986,3.285256,3.555689,3.265224,3.445513,0.044452,582424200
1/1/1987,3.460537,4.166667,3.460537,4.016426,0.063812,712777700
2/1/1987,4.021434,4.176682,3.866186,4.141627,0.065801,533842100
3/1/1987,4.151643,4.472156,4.086538,4.201723,0.066756,525163500
4/1/1987,4.151643,4.522235,3.976362,4.146635,0.077674,644582000
5/1/1987,4.13161,4.306891,3.936298,4.166667,0.078049,489732600
6/1/1987,4.226763,4.497196,4.106571,4.356971,0.081614,426288000
7/1/1987,4.356971,4.767628,4.296875,4.747596,0.096423,371820400
8/1/1987,4.667468,5.31851,4.607372,5.008013,0.101713,474377300
9/1/1987,5.038061,5.078125,4.58734,4.927885,0.100085,510294700
10/1/1987,4.927885,5.028045,3.104968,3.796074,0.082537,851412000
11/1/1987,3.645833,3.826122,3.295272,3.395433,0.073826,471145000
12/1/1987,3.365385,3.796074,3.125,3.535657,0.076875,528707500
1/1/1988,3.575721,3.836138,3.385417,3.615785,0.087629,392336200
2/1/1988,3.635817,3.665865,3.32532,3.645833,0.088357,397373200
3/1/1988,3.635817,3.655849,3.205128,3.235176,0.078405,452426000
4/1/1988,3.235176,3.435497,3.125,3.235176,0.086812,428960200
5/1/1988,3.22516,3.385417,3.07492,3.365385,0.090306,334670900
6/1/1988,3.365385,3.565705,3.345353,3.515625,0.094338,402506200
7/1/1988,3.535657,3.585737,3.245192,3.425481,0.102353,305103700
8/1/1988,3.405449,3.455529,3.125,3.235176,0.096667,333815100
9/1/1988,3.215144,3.525641,3.155048,3.475561,0.103849,344383200
10/1/1988,3.475561,3.625801,3.415465,3.495593,0.116189,316646300
11/1/1988,3.495593,3.665865,3.375401,3.605769,0.119852,363440200
12/1/1988,3.605769,3.735978,3.485577,3.585737,0.119186,350599300
1/1/1989,3.575721,3.886218,3.485577,3.876202,0.145543,426338100
2/1/1989,3.876202,3.926282,3.615785,3.665865,0.137645,309547700
3/1/1989,3.655849,3.735978,3.505609,3.565705,0.133884,372269800
4/1/1989,3.575721,3.946314,3.565705,3.916266,0.165524,322509300
5/1/1989,3.886218,4.407051,3.766026,4.377003,0.184997,530623300
6/1/1989,4.377003,4.507212,4.116587,4.136619,0.174837,393159900
7/1/1989,4.156651,4.6875,4.116587,4.6875,0.218348,318897700
8/1/1989,4.6875,4.73758,4.457131,4.617388,0.215082,378404800
9/1/1989,4.597356,4.6875,4.387019,4.527244,0.210883,297765400
10/1/1989,4.557292,4.747596,4.226763,4.437099,0.227272,433776000
11/1/1989,4.437099,4.987981,4.226763,4.967949,0.254463,364745600
12/1/1989,4.987981,5.188301,4.937901,5.168269,0.264723,315510500
1/1/1990,5.178285,5.36859,4.867788,4.987981,0.281555,490665100
2/1/1990,4.987981,5.108173,4.817708,4.947917,0.279293,329398300
3/1/1990,4.937901,5.228365,4.897837,5.148237,0.320909,382448200
4/1/1990,5.118189,5.388622,5.098157,5.128205,0.31966,299433800
5/1/1990,5.148237,5.61899,5.148237,5.51883,0.34401,396600600
6/1/1990,5.578926,5.699119,5.46875,5.548878,0.377768,297348500
7/1/1990,5.558894,6.049679,5.558894,5.739182,0.390724,385764400
8/1/1990,5.729167,5.779247,4.627404,4.967949,0.338218,572294400
9/1/1990,4.917869,4.997997,4.026443,4.366987,0.297305,456764200
10/1/1990,4.366987,4.597356,4.00641,4.166667,0.31671,541741700
11/1/1990,4.136619,4.507212,4.106571,4.387019,0.333459,388124400
12/1/1990,4.387019,4.6875,4.356971,4.597356,0.349447,335155400
1/1/1991,4.577324,5.138221,4.246795,5.128205,0.441073,496414800
2/1/1991,5.108173,5.689103,5.068109,5.448718,0.46864,495573300
3/1/1991,5.398638,5.649038,5.248397,5.578926,0.528308,356838200
4/1/1991,5.578926,6.069712,5.56891,5.669071,0.536844,359118600
5/1/1991,5.689103,6.19992,5.578926,6.189904,0.586166,309236900
6/1/1991,6.169872,6.219952,5.839343,5.929487,0.612462,272509700
7/1/1991,5.969551,6.069712,5.719151,5.869391,0.606255,328281500
8/1/1991,5.879407,6.059696,5.51883,5.999599,0.619704,348995700
9/1/1991,5.999599,6.039663,5.398638,5.558894,0.574183,340174800
10/1/1991,5.588943,5.809295,5.228365,5.528846,0.628652,385147800
11/1/1991,5.56891,5.649038,5.158253,5.188301,0.58993,334994200
12/1/1991,5.128205,6.260016,4.967949,6.129807,0.696983,472800900
1/1/1992,6.059696,6.470353,5.899439,6.029647,0.765446,439237500
2/1/1992,6.009615,6.470353,5.999599,6.30008,0.799776,293454900
3/1/1992,6.30008,6.40024,6.059696,6.069712,0.770531,272035200
4/1/1992,6.049679,6.35016,5.829327,6.139824,0.853028,344228400
5/1/1992,6.119792,6.380208,6.019631,6.119792,0.850245,247773900
6/1/1992,6.129807,6.360176,5.989583,6.229968,0.865553,240524500
7/1/1992,6.260016,6.310096,5.989583,6.129807,0.935667,261068000
8/1/1992,6.119792,6.159856,5.849359,5.929487,0.905089,235262900
9/1/1992,5.919471,6.390224,5.889423,6.270032,0.95707,268049100
10/1/1992,6.290064,6.290064,5.859375,6.14984,1.034234,249415400
11/1/1992,6.159856,6.710737,6.159856,6.670673,1.121823,267812000
12/1/1992,6.610577,7.011218,6.520432,6.850962,1.152142,268161300
1/1/1993,6.860978,6.991186,6.610577,6.901042,1.28135,264863200
2/1/1993,6.891026,7.03125,6.480369,6.740785,1.251593,291260800
3/1/1993,6.770833,7.291667,6.670673,7.141426,1.325982,314400100
4/1/1993,7.171474,7.692307,7.071314,7.261619,1.484556,303674400
5/1/1993,7.261619,7.622196,7.111378,7.431891,1.519366,273038700
6/1/1993,7.451923,7.722356,7.431891,7.672276,1.568511,276702600
7/1/1993,7.672276,8.082932,7.572115,7.892628,1.760533,276927700
8/1/1993,7.892628,8.032852,7.692307,7.872596,1.756065,220211900
9/1/1993,7.872596,7.91266,7.572115,7.682292,1.713616,249324400
10/1/1993,7.672276,7.922676,7.592147,7.772436,1.883393,202146100
